"cehwi","rr","rr_low","rr_high","log_rr","log_rr_low","log_rr_high","specification","n_cities"
0,1,1,1,0,0,0,"Excluding single-grid cities (n=17)",17
0.106282565130261,0.996653273393325,0.987978598306479,1.00540411408537,-0.00335233942270471,-0.0120942431020046,0.00538956425659506,"Excluding single-grid cities (n=17)",17
0.212565130260521,0.993319158045072,0.976107526629718,1.01083428087699,-0.00670325867704404,-0.0241825279102237,0.0107760105561357,"Excluding single-grid cities (n=17)",17
0.318847695390782,0.989999008276757,0.964390583486311,1.01628743910571,-0.0100513375946524,-0.036258896839017,0.0161562216497122,"Excluding single-grid cities (n=17)",17
0.425130260521042,0.986694159850348,0.952831316401318,1.02176046098041,-0.0133951560071645,-0.0483173937216103,0.0215270817072813,"Excluding single-grid cities (n=17)",17
0.531412825651303,0.983405930173679,0.941433030058882,1.02725015229206,-0.0167332937462147,-0.0603520645259857,0.0268854770335562,"Excluding single-grid cities (n=17)",17
0.637695390781563,0.980135618523604,0.930198794567232,1.0327532526481,-0.0200643306434378,-0.072356958078562,0.0322282967916866,"Excluding single-grid cities (n=17)",17
0.743977955911824,0.976884506286426,0.919131453812721,1.03826643584425,-0.0233868465304681,-0.0843261267983355,0.0375524337373992,"Excluding single-grid cities (n=17)",17
0.850260521042084,0.973653857215205,0.90823363387901,1.0437863103805,-0.0266994212389405,-0.096253627444212,0.0428547849663312,"Excluding single-grid cities (n=17)",17
0.956543086172345,0.970444917703493,0.897507751508843,1.04930942012846,-0.0300006346004892,-0.108133521878345,0.0481322526773664,"Excluding single-grid cities (n=17)",17
1.06282565130261,0.9672589170751,0.88695602258728,1.05483224515704,-0.0332890664467489,-0.119959877848381,0.0533817449548832,"Excluding single-grid cities (n=17)",17
1.16910821643287,0.964097067889489,0.876580470626535,1.06035120272388,-0.0365632966093542,-0.131726769791646,0.0586001765729378,"Excluding single-grid cities (n=17)",17
1.27539078156313,0.960960566262406,0.8663829352339,1.0658626484397,-0.0398219049199396,-0.143428279664421,0.0637844698245418,"Excluding single-grid cities (n=17)",17
1.38167334669339,0.957850592201374,0.856365080545462,1.07136287761306,-0.0430634712101396,-0.155058497799623,0.0689315553793433,"Excluding single-grid cities (n=17)",17
1.48795591182365,0.954768309955679,0.846528403609555,1.07684812678308,-0.0462865753115889,-0.166611523796382,0.0740383731732042,"Excluding single-grid cities (n=17)",17
1.59423847695391,0.951714868380506,0.836874242705036,1.08231457544783,-0.0494897970559221,-0.178081467445207,0.0791018733333624,"Excluding single-grid cities (n=17)",17
1.70052104208417,0.948691401314873,0.827403785580594,1.08775834799599,-0.0526717162747734,-0.189462449692639,0.0841190171430917,"Excluding single-grid cities (n=17)",17
1.80680360721443,0.945699027973056,0.818118077602361,1.09317551585001,-0.0558309127997777,-0.200748603649585,0.0890867780500294,"Excluding single-grid cities (n=17)",17
1.91308617234469,0.94273885334918,0.8090180297981,1.09856209982851,-0.0589659664625695,-0.211934075647759,0.0940021427226196,"Excluding single-grid cities (n=17)",17
2.01936873747495,0.939811968634688,0.800104426787166,1.10391407273636,-0.0620754570947832,-0.223013026349006,0.0988621121594393,"Excluding single-grid cities (n=17)",17
2.12565130260521,0.936919451648406,0.791377934586347,1.10922736219071,-0.0651579645280535,-0.233979631912626,0.103663702856519,"Excluding single-grid cities (n=17)",17
2.23193386773547,0.934062367278943,0.782839108282475,1.1144978536917,-0.068212068594015,-0.244828085226194,0.108403948038164,"Excluding single-grid cities (n=17)",17
2.33821643286573,0.931241767939171,0.774488399563454,1.11972139394636,-0.0712363491243021,-0.255552597205811,0.113079898957207,"Excluding single-grid cities (n=17)",17
2.44449899799599,0.928458694032563,0.766326164100017,1.12489379445505,-0.0742293859505494,-0.266147398172213,0.117688626271115,"Excluding single-grid cities (n=17)",17
2.55078156312625,0.925714174431159,0.758352668771114,1.13001083536953,-0.0771897589043915,-0.276606739309657,0.122227221500874,"Excluding single-grid cities (n=17)",17
2.65706412825651,0.923009226964981,0.750568098726343,1.13506826963227,-0.080116047817463,-0.28692489421513,0.126692798580204,"Excluding single-grid cities (n=17)",17
2.76334669338677,0.9203448589227,0.742972564279269,1.14006182740694,-0.0830068325213983,-0.297096160546052,0.131082495503255,"Excluding single-grid cities (n=17)",17
2.86962925851703,0.9177220675634,0.735566107625797,1.14498722081048,-0.0858606928478321,-0.307114861775372,0.135393476079708,"Excluding single-grid cities (n=17)",17
2.9759118236473,0.915141840639294,0.728348709382018,1.1498401489573,-0.0886762086283988,-0.316975349063737,0.13962293180694,"Excluding single-grid cities (n=17)",17
3.08219438877756,0.912605156929268,0.721320294936079,1.15461630332708,-0.0914519596947332,-0.326672003259327,0.14376808386986,"Excluding single-grid cities (n=17)",17
3.18847695390782,0.910112986783135,0.714480740608653,1.15931137346781,-0.0941865258784697,-0.336199237036877,0.147826185279937,"Excluding single-grid cities (n=17)",17
3.29475951903808,0.90766629267653,0.707829879616505,1.16392105304669,-0.0968784870112429,-0.345551497188544,0.151794523166058,"Excluding single-grid cities (n=17)",17
3.40104208416834,0.905266029776363,0.701367507833436,1.16844104626198,-0.0995264229246872,-0.354723267080425,0.155670421231051,"Excluding single-grid cities (n=17)",17
3.5073246492986,0.90291314651678,0.695093389342523,1.17286707463002,-0.102128913450437,-0.363709069289899,0.159451242389024,"Excluding single-grid cities (n=17)",17
3.61360721442886,0.900608585185621,0.689007261773106,1.1771948841624,-0.104684538420128,-0.372503468440411,0.163134391600156,"Excluding single-grid cities (n=17)",17
3.71988977955912,0.898353282521346,0.683108841415284,1.18142025294949,-0.107191877665393,-0.381101074251994,0.166717318921208,"Excluding single-grid cities (n=17)",17
3.82617234468938,0.896148170320461,0.677397828103866,1.18553899916782,-0.109649511017868,-0.3894965448276,0.170197522791864,"Excluding single-grid cities (n=17)",17
3.93245490981964,0.893994176055466,0.671873909862699,1.18954698953025,-0.112056018309187,-0.397684590197363,0.173572553578989,"Excluding single-grid cities (n=17)",17
4.0387374749499,0.891892223503388,0.666536767299026,1.19344014819958,-0.114409979370984,-0.405659976145168,0.176840017403199,"Excluding single-grid cities (n=17)",17
4.14502004008016,0.889843233384975,0.661386077736098,1.19721446618805,-0.116709974034895,-0.413417528344384,0.179997580274594,"Excluding single-grid cities (n=17)",17
4.25130260521042,0.887848124014655,0.656421519070457,1.20086601126757,-0.118954582132553,-0.420952136832427,0.183042972567321,"Excluding single-grid cities (n=17)",17
4.35758517034068,0.885907811961378,0.651642773338342,1.20439093841788,-0.121142383495594,-0.428258760856907,0.18597399386572,"Excluding single-grid cities (n=17)",17
4.46386773547094,0.8840232127205,0.647049529973256,1.20778550084253,-0.123271957955651,-0.435332434129595,0.188788518218293,"Excluding single-grid cities (n=17)",17
4.5701503006012,0.882195241396867,0.642641488734032,1.21104606158625,-0.125341885344359,-0.442168270528275,0.191484499839557,"Excluding single-grid cities (n=17)",17
4.67643286573146,0.880424813399301,0.6384183622796,1.2141691057904,-0.127350745493354,-0.448761470290886,0.194059979304179,"Excluding single-grid cities (n=17)",17
