"city","grid10_id","NDVI_2023_mean","total_20_55_mean","GDP_mean","Unemployment_mean","BD_mean","Urbanization_Rate_mean","Street_Intersection_Density_mean","Walkability_Index_mean","NDVI_2023_gini","total_20_55_gini","GDP_gini","Unemployment_gini","BD_gini","Urbanization_Rate_gini","Street_Intersection_Density_gini","Walkability_Index_gini"
"Abilene",64879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene",64880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene",65525,0.367369949496364,450.073575757576,2178463554.97374,0.0216782474443319,0.253669424038945,28.7045454545455,100.849171199715,9.1582531665865,0.0803883027178866,0.166959384851032,0.0464362421611884,0.0629876170295763,0.0853718317962074,0.0354711005542359,0.186092576520736,0.0674128068417549
"Abilene",65526,0.362307051282308,401.814630769231,2092612249.27179,0.02432884849613,0.266467347741127,28.0461538461538,121.586067313474,9.55014245014245,0.0840171746179477,0.190398667832828,0.0668823377624031,0,0.108942659098431,0.0540318156884256,0.164109140701397,0.0688877252934112
"Abilene",65527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene",66171,0.362233333334286,459.8219,2205447097.70159,0.0215517279533178,0.263907620594615,26.902380952381,91.6622732821757,8.0614134542706,0.0642306368902733,0.189800627722975,0.0034777846504628,0.0266501935145214,0.0762783392618415,0.0762477926828754,0.195379226123964,0.106814186259113
"Abilene",66172,0.360279861112083,450.170416666667,2152743556.97778,0.0276037774519651,0.276855167622368,25.74375,128.968161916884,9.03637566137566,0.058729019814829,0.208706031697255,0.0095475353041891,0.0927702424763432,0.0740181173850186,0.0987598122521647,0.121239120391353,0.0988605174559028
"Abilene",66173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene",66818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amarillo",88757,0.2797125,587.9865,2906704281.6,0.0137773855321522,0.21883549541235,23.35,48.2894845053822,7.27777777777778,0.0016311391160566,0.121593352908613,0,0,0.0388910846983734,0.103854389721627,0.304544765598627,0.0496183206106869
"Amarillo",88758,0.30441212121,426.762545454545,4249031228.50909,0.0168000455861559,0.209592998027802,22.9,44.1889838856773,6.94570707070707,0.0531594112650037,0.359857422018879,0.0574388447077142,0.0327126823826165,0.063435575509138,0.123497780504529,0.217209908815766,0.0935036604914808
"Amarillo",89403,0.322950378787727,484.973772727273,1991676575.12727,0.0178798365363263,0.240931681611321,27.0272727272727,89.4416899000873,11.1494949494949,0.0671702202465554,0.168971687512147,0.254034703424178,0.11352467406299,0.11482900310633,0.0665458826407363,0.164359181923237,0.0906712760875652
"Amarillo",89404,0.297093965517356,485.930211494253,4168801277.35172,0.0228955594963725,0.250287171581696,29.0620689655172,108.045076475058,12.6438910174542,0.10118540601018,0.230613131804714,0.0487700558346552,0.0195601672832056,0.0978697315814677,0.02776504881557,0.167600317062386,0.103126219671599
"Amarillo",89405,0.249891666667143,306.10920952381,4291549746.3873,0.0222131571823519,0.237043047944705,29.3785714285714,106.062523749519,13.7636243386243,0.089752422573874,0.287804995394416,8.48128387678211e-05,0,0.137856571635661,0.0182695981383071,0.113936940279874,0.0645724042646764
"Amarillo",89406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amarillo",90049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
